Strategy,S1 Total (Rs),S1 Peak (Rs),S1 Off-Peak (Rs),S2 Total (Rs),S2 Peak (Rs),S2 Off-Peak (Rs),Penalty Shock (Rs),Bias (%),RMSE (kW),95th pct Dev (kW)
Naive (lag₆₇₂),608010.02,85796.22,522213.8,640246.11,118032.31,522213.8,32236.089999999967,-1.7743,86.65,170.9
LightGBM MSE (raw),372558.94,66821.75,305737.2,375678.5,69941.3,305737.2,3119.5599999999977,4.6346,77.61,153.06
LightGBM Q0.667 (raw),382900.04,67379.3,315520.74,383808.33,68287.59,315520.74,908.2900000000373,5.2482,81.5,160.85
Hybrid Q0.75 (raw),390496.7,74975.96,315520.74,391219.89,75699.15,315520.74,723.1900000000023,5.3711,82.94,163.29
BiasCorr + MSE,315682.6,53772.78,261909.81,323061.95,61152.14,261909.81,7379.350000000035,2.2976,62.26,128.28
BiasCorr + Q0.60 [OPTIMAL],292185.84,48428.88,243756.96,298316.58,54559.62,243756.96,6130.739999999991,2.1744,59.59,125.52
BiasCorr + Hybrid Q0.75 ★,306033.48,55071.9,250961.58,308731.44,57769.86,250961.58,2697.960000000021,3.0341,65.39,137.32
