Model,Total Penalty (Rs),Peak Penalty (Rs),Off-Peak (Rs),RMSE (kW),Bias (%),95th pct Dev (kW)
LightGBM Q0.667,554743.9422384688,130731.9696811077,424011.9725573611,121.62025062545267,7.164829930817413,251.2629051898768
LightGBM MSE,457692.5370092372,114976.68162427846,342715.8553849588,98.08174286298471,3.7533999228996118,192.92557120097365
Hybrid Q0.667 + Q0.75 Peak,556427.3986252067,132415.42606784558,424011.9725573611,121.7287870838211,7.199893517591518,251.2629051898768
Naive lag_672,1090700.0518388015,253861.1452946241,836838.9065441774,141.95133422478025,-0.5107534077747924,283.67713635364447
